year,temp_anomaly_c,precip_anomaly_pct,co2_ppm,heatwave_risk,seasonal_precip_mm,yield_bu_acre,scenario_SSP1-2.6,scenario_SSP3-7.0,scenario_SSP5-8.5
2014,2.540804555536558,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,1.0824719364439528,184.9,1.0,0.0,0.0
2013,1.2563155884079396,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.8171448211326908,171.0,1.0,0.0,0.0
2012,-0.8083590612498387,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-2.346236456170745,128.8,1.0,0.0,0.0
2011,-0.036603541349088144,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.6993724545415674,155.0,1.0,0.0,0.0
2010,-0.7854424097726115,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.6813259672582397,160.2,1.0,0.0,0.0
2009,-0.894623667640543,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.7199636579735422,191.2,1.0,0.0,0.0
2008,-1.8528927314698285,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-1.235919009836588,156.0,1.0,0.0,0.0
2007,-1.3300400457078592,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.5891806086039576,147.4,1.0,0.0,0.0
2006,-1.2396364425032067,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.4868219618309061,159.5,1.0,0.0,0.0
2005,0.3847067703706918,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.1272869460540472,163.7,1.0,0.0,0.0
2025,0.4506263813928353,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-1.650694889431546,197.6,1.0,0.0,0.0
2024,0.4456474116960573,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-1.0481732060000948,215.8,1.0,0.0,0.0
2023,0.4406684419992775,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,-0.44565152256864343,206.2,1.0,0.0,0.0
2022,0.43568947230249977,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.15687016086280786,187.8,1.0,0.0,0.0
2021,0.4307105026057195,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.7593918442942592,204.9,1.0,0.0,0.0
2020,0.4257315329089418,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,1.3619135277257106,184.6,1.0,0.0,0.0
2019,0.26462412530602314,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,1.011620826206185,204.8,1.0,0.0,0.0
2018,0.10351671770310451,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.6613281246866581,191.5,1.0,0.0,0.0
2017,-0.05759068989981323,1.1859989066577623,-1.1966422450849272,-1.1624763874381927,0.3110354231671323,199.1,1.0,0.0,0.0
