year,scenario,temp_anomaly_c,precip_anomaly_pct,co2_ppm,heatwave_risk,seasonal_precip_mm,seasonal_cdd,yield_bu_acre
2008,SSP1-2.6,-2.475462646484372,-0.02,445.0,0.15,199.23472977534402,20.0,175.0
2007,SSP1-2.6,-1.426878662109372,-0.02,445.0,0.15,480.67128671100363,20.0,163.6
2006,SSP1-2.6,-1.245573730468747,-0.02,445.0,0.15,464.88723589573056,20.0,159.6
2005,SSP1-2.6,2.012055664062503,-0.02,445.0,0.15,409.4457159284502,20.0,183.1
2004,SSP1-2.6,-2.148222656249997,-0.02,445.0,0.15,663.0195357254706,20.0,183.4
2003,SSP1-2.6,1.625581054687503,-0.02,445.0,0.15,572.2603899193928,20.0,160.1
2002,SSP1-2.6,0.5182812500000029,-0.02,445.0,0.15,511.0179207287729,20.0,143.6
2001,SSP1-2.6,0.25586059570307107,-0.02,445.0,0.15,547.2082570195198,20.0,136.7
2000,SSP1-2.6,-2.442534179687497,-0.02,445.0,0.15,460.82776410039514,20.0,153.1
1999,SSP1-2.6,0.1824658203125029,-0.02,445.0,0.15,454.76317908614874,20.0,160.8
1998,SSP1-2.6,-0.3154895019531221,-0.02,445.0,0.15,423.1989247491583,20.0,154.2
1997,SSP1-2.6,0.7003491210937529,-0.02,445.0,0.15,297.1901059267111,20.0,138.1
1996,SSP1-2.6,-2.844664306640622,-0.02,445.0,0.15,424.7205774416216,20.0,140.0
1995,SSP1-2.6,0.2272045898437529,-0.02,445.0,0.15,304.33453005971387,20.0,127.6
1994,SSP1-2.6,-0.027891845703122087,-0.02,445.0,0.15,259.96196219930425,20.0,156.0
1993,SSP1-2.6,-0.5701281738281221,-0.02,445.0,0.15,310.6137459632009,20.0,66.0
1992,SSP1-2.6,-1.203032226562497,-0.02,445.0,0.15,451.8268284620717,20.0,147.4
1991,SSP1-2.6,-2.214171142578122,-0.02,445.0,0.15,136.03903773764614,20.0,112.2
1990,SSP1-2.6,1.397919921875003,-0.02,445.0,0.15,499.64036758756265,20.0,133.7
2025,SSP1-2.6,2.144257812500003,-0.02,445.0,0.15,135.27488107793033,20.0,220.2
2024,SSP1-2.6,2.1342724609375043,-0.02,445.0,0.15,228.1857700785622,20.0,160.8
2023,SSP1-2.6,2.124287109375002,-0.02,445.0,0.15,321.09665907919407,20.0,201.3
2022,SSP1-2.6,2.1143017578125036,-0.02,445.0,0.15,414.00754807982594,20.0,203.4
